,title,city,venue,price,genre,link,description
170,Tribute to Bollywood ft. SEHER,bengaluru,"Hard Rock Cafe Bengaluru Whitefield, Bengaluru",750,MUSIC,https://insider.in/tribute-to-bollywood-ft-seher-oct22-2022/event,"Take a new look at some of the greatest Bollywood soundtracks!
Spend a wonderful evening listening to your favourite SEHER-performed Bollywood box office tunes from your favourite movies. A retro, rock, and top commercial Bollywood live performance night will take held at Hard Rock Cafe Whitefield at Benglauru on October 22. Come have fun, groove, and dance at your favourite entertainment venue.

About the band: SEHER is renowned for its music, fervour, and allure. Among the genres included are Rock & Pop, Bollywood Music, Old Melodies, Classics, and Soulful Sufi Songs.
It will undoubtedly be a memorable evening!

Terms and Conditions
-Only patrons above the drinking age will be served alcohol (21Yrs +).
-People in an inebriated state may not be allowed entry.
-No outside food and beverages are allowed inside the venue.
-No seating guaranteed.
-Hard Rock Cafe does not take responsibility for the loss or theft of any personal belongings .
-The consumption of any illegal substances is strictly prohibited."
171,Soul Fest POP-UP,bengaluru,"GYLT, Bengaluru",499,ART & MUSIC,https://insider.in/soul-fest-popup-oct23-2022/event,"Bangalore, Get Ready !!
Soul Fest POP-UP comes to the city of Bangalore, this October bringing in amalgamation of Dance, Music & Lifestyle
Headliner : WESKA ( Drumcode )
Date : 23rd October ( Sunday )
Timing : 2 PM Onwards
Venue : GYLT

MORE DETAILS TO BE ANNOUNCED 📣"
172,Go Funk Yourself Live,bengaluru,"Hard Rock Cafe, St Marks Rd - Bengaluru, Bengaluru",750,MUSIC,https://insider.in/go-funk-yourself-live-oct27-2022/event,"Your favorite night is here.
The incredibly skilled GO FUNK YOURSELF will perform their spectacular and enchanted foot-tapping tunes live for you to groove and dance at Hard Rock Cafe Bengaluru.
About the band : Go Funk Yourself is a Bengaluru based band that is on a mission to create an experience that moves and inspires its attendees. Coming from a nature of improvisation, they often trail into moments that are purely born on stage live with the audience. Their set consists of unreleased originals that have found their way to audiences who truly wanted to funk themselves.

So, what are you waiting for? Prepare for the most incredible night to kick off your weekend.
Reserve your spots now for a night full of rock & roll.
*Safety regulations strictly followed.
Terms and Conditions
-Only patrons above the drinking age will be served alcohol (21Yrs +).
-People in an inebriated state may not be allowed entry.
-No outside food and beverages are allowed inside the venue.
-No seating guaranteed.
-Hard Rock Cafe does not take responsibility for the loss or theft of any personal belongings.
-The consumption of any illegal substances is strictly prohibited."
173,Halloweekend ft. Martin D'souza,bengaluru,"Hard Rock Cafe, St Marks Rd - Bengaluru, Bengaluru",1000,MUSIC,https://insider.in/halloweekend-ft-martin-dsouza-oct28-2022/event,"Say hell-o to Halloween!
Boo! Spooky season is here and it's time to bring your best to the Halloween party.
Win over the wicked. Get wilder than the wild. Let the spooky night fear your sight with DJ Martin D'Souza only at Hard Rock Cafe Bengaluru.

Who doesn't want another excuse to dance and listen to amazing music? So dress up for Halloween and head over to the Hard Rock Cafe. Dance to some pounding music and consume a few beers during the spookiest weekend of the year.
So reserve your spots now for a rock and roll-filled evening.

*Safety norms strictly followed.
Terms and Conditions
-Only patrons above the drinking age will be served alcohol (21Yrs +).
-People in an inebriated state may not be allowed entry.
-No outside food and beverages are allowed inside the venue.
-No seating guaranteed.
-Hard Rock Cafe does not take responsibility for the loss or theft of any personal belongings.
-The consumption of any illegal substances is strictly prohibited."
174,3some three times the play,bengaluru,"Lahe Lahe, Bengaluru",250 onwards,THEATRE,https://insider.in/3some-three-times-the-play-sep24-2022/event,"Threesome is a collection of three short plays, depicted in the format of clowning.
3 plays of three different magnitudes that make you more than 'just an audience'
A laugh riot that shouldn't be missed
Date: 24th and 25th September 7:30-9:00pm price 250
29th and 30th October 7:30-9:30pm price 299"
175,Tribute to Michael Jackson ft. Retronome,bengaluru,"Hard Rock Cafe Bengaluru Whitefield, Bengaluru",750,MUSIC,https://insider.in/tribute-to-michael-jackson-ft-retronome-oct29-2022/event,"This is a must-see event for all Michael Jackson lovers. If you've ever admired the King of Pop, you should be here! Tribute nights are back, paying TRIBUTE TO MICHAEL JACKSON, brought to you by the versatile and powerful RETRONOME, who is killing it with the perfect playlist to pair with your perfect drink this Saturday night!
Retronome is well-known for its distinctive music, which is best described by their no-nonsense covers combined with some amazing retro tunes. The event promises to be a fantastic evening of dancing, music, and fun!
Get it rocking like Michael Jackson. See you at Hard Rock Cafe Whitefield, Bengaluru
And of course, enjoy some beer and great bar fare as the ticket cost also includes cover charges.

Terms and Conditions
-Only patrons above the drinking age will be served alcohol (21Yrs +).
-People in an inebriated state may not be allowed entry.
-No outside food and beverages are allowed inside the venue.
-No seating guaranteed.
-Hard Rock Cafe does not take responsibility for the loss or theft of any personal belongings.
-The consumption of any illegal substances is strictly prohibited."
176,Halloweekend ft. DJ Franky,bengaluru,"Hard Rock Cafe, St Marks Rd - Bengaluru, Bengaluru",1000,HALLOWEEN,https://insider.in/halloweekend-ft-dj-franky-oct29-2022/event,"Say hell-o to Halloween!
Boo! Spooky season is here and it's time to bring your best to the Halloween party.
Win over the wicked. Get wilder than the wild. Let the spooky night fear your sight with DJ Franky only at Hard Rock Cafe Bengaluru.
Who doesn't want another excuse to dance and listen to amazing music? So dress up for Halloween and head over to the Hard Rock Cafe. Dance to some pounding music and consume a few beers during the spookiest weekend of the year.
So reserve your spots now for a rock and roll-filled evening.

*Safety norms strictly followed.
Terms and Conditions
-Only patrons above the drinking age will be served alcohol (21Yrs +).
-People in an inebriated state may not be allowed entry.
-No outside food and beverages are allowed inside the venue.
-No seating guaranteed.
-Hard Rock Cafe does not take responsibility for the loss or theft of any personal belongings.
-The consumption of any illegal substances is strictly prohibited."
177,Punchliners Comedy Show ft Azeem Banatwalla Live in Bangalore,bengaluru,"Just BLR, Bengaluru",499 onwards,COMEDY,https://insider.in/punchliners-comedy-show-ft-azeem-banatwalla-live-in-bangalore-oct30-2022/event,"You don’t have to wait in lines to hear jokes from us. Book your tickets for Azeem Banatwalla live in your city to tickle your funny Bone. 

To book a comedian for your event reach out to team Punchliners on 9999923228Venue
Just BLR
Deena Complex, Opp MC Donald, Brigade Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India
GET DIRECTIONS"
178,Punchliners Comedy Show ft Azeem Banatwalla in Bangalore,bengaluru,"Hard Rock Cafe Bengaluru Whitefield, Bengaluru",399,COMEDY,https://insider.in/punchliners-comedy-show-ft-azeem-banatwalla-in-bangalore-oct30-2022/event,"You don’t have to wait in lines to hear jokes from us. Book your tickets for Azeem Banatwalla live in your city to tickle your funny Bone. 

To book a comedian for your event reach out to team Punchliners on 9999923228Venue
Hard Rock Cafe Bengaluru Whitefield
Unit G-25 & 26, Ground Floor, Park Square Mall International Tech Park, Bangalore, Pattandur Agrahara, Bengaluru, Karnataka 560066
GET DIRECTIONS"
179,theMascotshow,bengaluru,"Jayamahal Palace Hotel, Bengaluru",500 onwards,OTHER,https://insider.in/themascotshow-nov5-2022/event,"theMascotshow is the first of its kind experience event for kids and families , where you can meet mascots of famous characters, animals, celebrities and more entertainment for kids and families.

Event Highlights
·         the Mascots
We bring fun and loving mascots, whom you and your kids love to play with, dance and take selfies. Bringing more than 50 live mascots for your entertainment 
·         Music on Stage
Handpicked bands performing live, Swing with all genres of music. Also get a chance to perform live karaoke. Tune in and enjoy with your family and friends
·         Dance on stage
Spectacle performers to add more liveliness and entertainment on stage. These entertainers make you dance your own way along with them
·         Game Stalls
Kids love going to carnivals, playing games, and participating, to win fancy and exciting prizes, we present 50 plus larger-than-life game stalls with exciting prize
·         Food Stalls
Variety of mouth-watering and outrageous foods available at the event, we celebrate all national and international culinary delights. Enjoy every delicious bite. 
·         Shopping Stalls
Explore Arts & Crafts, Clothing, Jewelry, Home Decor, Furniture, Handicraft’s products direct from the makers from across India. "
180,Brandland Property Expo - North Bangalore,bengaluru,"Royal Orchid Resort & Convention Centre, Bengaluru",Free,OTHER,https://insider.in/brandland-property-expo-north-bangalore-nov12-2022/event,"We know your dream 

So we present you your dream

Come & Join us on Nov 12 & 13th 

at ROYAL ORCHID CONVENTION CENTRE YEHALANKA 

To explore your dream of buying your Dream Home.

a. One of the best Property Expo in town 
"" Brandland Property Expo ""

b.On spot Exclusive discounts worth 3 Lakh.

c. Get a chance to win a Car / Bike & gold coins through a lucky draw.

d. Property Starting at just ₹ 9 lakh onward

e. Live music 5 pm to 7 pm 

f. Stand-up comedy show 

g. Check out Plots / Villa Project / Apartments.

h. 40 Plus Real estate project under one roof ."
181,HT City Unwind,delhi,"Jawaharlal Nehru Stadium, Delhi, Delhi",199 onwards,FESTIVAL,https://insider.in/ht-city-unwind-oct7-2022/event,"Venue
Jawaharlal Nehru Stadium, Delhi
Jawaharlal Nehru Stadium Complex, Jawaharlal Nehru Stadium, Pragati Vihar, New Delhi, Delhi 110003, India
GET DIRECTIONSTerms & Conditions"
182,"Mastercard Series 1st ODI: India vs South Africa, Lucknow",delhi,"Bharat Ratna Shri Atal Bihari Vajpayee, Ekana Cricket Stadium, Lucknow, Lucknow",1200 onwards,CRICKET,https://insider.in/mastercard-series-1st-odi-india-vs-south-africa-lucknow-2022/event,"Venue
Bharat Ratna Shri Atal Bihari Vajpayee, Ekana Cricket Stadium, Lucknow
Ekana Sportz City, Sector 7, Gomti Nagar Ext., Amar Shaheed Path, Lucknow, Uttar Pradesh 226010
GET DIRECTIONSTerms & Conditions"
183,"Arijit Singh - One Night Only Tour, Delhi 2022",delhi,"JLN Stadium Gate No. 2, Delhi",2500 onwards,MUSIC,https://insider.in/arijit-singh-one-night-only-tour-2022-delhi-dec3-2022/event,Listen to Arijit Singh!
184,"Casa Bacardi On Tour 2022, Noida",delhi,"International Trade Expo Centre Limited, Noida",1299 onwards + applicable GST,MUSIC,https://insider.in/casa-bacardi-on-tour-2022-noida-oct8-2022/event,"Venue
International Trade Expo Centre Limited
A-11 Expo Drive, National Highway 24, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201301, India
GET DIRECTIONSTerms & Conditions"
185,Supermoon ft. B Praak – King of Hearts Tour - Gurugram,delhi,"Airia Mall, Gurgaon",799 Onwards,MUSIC,https://insider.in/supermoon-ft-b-praak-king-of-hearts-tour-gurugram-2022/event,Supermoon ft. B Praak - King Of Hearts Tour | Promo
186,Amelie Lens live @ Soho-Delhi,delhi,"Soho Club Delhi, Delhi",4500 onwards,MUSIC,https://insider.in/amelie-lens-live-sohodelhi-oct14-2022/event,Catch Amelie Lens performing Live @ Club Soho-DelhiInstructions
187,Ritviz – ‘Mimmi’ Album Launch Tour,delhi,"Venue to be announced, Pan India",Sign Up,MUSIC,https://insider.in/ritviz-mimmi-album-launch-tour-2022/event,"Ritviz just dropped his debut full length album ‘Mimmi’ and word on the street is that it’s the earworm of the year. But what good is an earworm if you can’t be out there singing each song out loud along with thousands of other people. Not to worry, while Mimmi keeps you company over the next two months, we’re working on bringing to you a concert like no other. Sign up right now and be mehfooz. Be the first to receive all the latest information on our tour.
About Ritviz
Crowned as the highest streamed Indian indie artist on Spotify in India, Ritviz is undeniably one of the most unique names in music to come out of the Indian subcontinent. With a number of chart-topping hits to his name - Udd Gaye, Sage & Liggi to name a few, Ritviz has managed to showcase a sound that is inimitable to say the least. Turning a new leaf in his artistic journey, Ritviz is set to make heads bob and feet dance uncontrollably with his debut full length album ‘Mimmi’ which released worldwide on September 2nd, 2022.Listen to Mimmi!"
188,Bridal Make Up MasterClass By Samaira Sandhu,delhi,"DLF Mall of India, Noida",3999 onwards,BEAUTY,https://insider.in/bridal-make-up-masterclass-by-samaira-sandhu-sep30-2022/event,"Wedding Tales Season 3 brings to you the most illustrious names in beauty and makeup industry to teach hundreds of women from all over the globe the art of bridal makeover, all under the same roof as a one stop destination for all your wedding needs and aspirations, at the famed DLF Mall of India.
 Featuring Samaira Sandhu, a name that needs no introduction, this masterclass will allow students and trainees to learn the intricacies of bridal makeup with one of the finest bridal makeup artists in the world. 

The masterclass will feature:

1. Learning various bridal makeup techniques through detailed demonstration 

2. Product knowledge training explaining the significance and application of a variety of makeup products to create the bridal look

So if you’re someone who simply can’t look away from the trending makeup reels on Instagram and thousands of tutorials on YouTube, this masterclass is for you!

If you’re a makeup enthusiast looking to turn your passion into a profession, this makeup class is for you!

And if you’re someone who feels the skill of makeovers is a great addition to your lifestyle, then come and join us on this sparkling quest to unlock the secrets of bridal makeup!Instructions"
189,Pacific Dandiya Night,delhi,"Pacific Mall NSP Pitampura, Delhi",300 Onwards,NAVRATRI,https://insider.in/pacific-dandiya-night/event,"Pacific Mall NSP Pitampura in association with Actisoul events presents Dandiya Nights.
Main Attraction: Dandiya Nights under the sky, Live Dhol, Non-Stop Music, DJ, Garba, Dance, Food etc.
Dress Code: Ethnic Wear


Entry for event starts from 6 pm onwards.


Dandiya Sticks is included in the ticket price and will be available at venue.


Exciting Prizes/Vouchers for best dressed couple.


Photobooth and much more."
190,Bridal Make Up MasterClass By Bhumika Bahl,delhi,"DLF Mall of India, Noida",2499 onwards,BEAUTY,https://insider.in/bridal-make-up-masterclass-by-bhumika-bahl-oct2-2022/event,"Wedding Tales Season 3 brings to you the most illustrious names in beauty and makeup industry to teach hundreds of women from all over the globe the art of bridal makeover, all under the same roof as a one stop destination for all your wedding needs and aspirations, at the famed DLF Mall of India.
 Featuring Bhumika Bahl, a name that needs no introduction, this masterclass will allow students and trainees to learn the intricacies of bridal makeup with one of the finest bridal makeup artists in the world. 

The masterclass will feature:

1. Learning various bridal makeup techniques through detailed demonstration 

2. Product knowledge training explaining the significance and application of a variety of makeup products to create the bridal look

So if you’re someone who simply can’t look away from the trending makeup reels on Instagram and thousands of tutorials on YouTube, this masterclass is for you!

If you’re a makeup enthusiast looking to turn your passion into a profession, this makeup class is for you!

And if you’re someone who feels the skill of makeovers is a great addition to your lifestyle, then come and join us on this sparkling quest to unlock the secrets of bridal makeup!Instructions"
191,Russ India Tour | Delhi,delhi,"JLN Stadium Gate No. 2, Delhi",2999 onwards,MUSIC,https://insider.in/russ-india-tour--delhi/event,Russ | New Delhi | 29th October
192,TOAST Oktoberfest Edition - Delhi,delhi,"DLF Avenue Saket, Delhi",499 onwards,DRINKS & MORE,https://insider.in/toast-oktoberfest-edition-delhi-24-25-sep-2022/event,"After the success of TOAST Mumbai and Bangalore, Swiggy SteppinOut, WMS entertainment and Passcode Hospitality are pleased to announce the launch of TOAST in Delhi - A fun-filled festival featuring the finest international and homegrown wine and beer brands, delectable restaurant pop-ups, incredible musical performances and much more. This time we’ve come up with the Oktoberfest edition of Toast.. featuring the best of what there is to offer for beer lovers, lots of grub, and unfiltered fun in this one-of-its-kind experience. Join us as we #RaiseATOAST to the country’s rising beer & wine scene through a two-day celebration replete with food for every palate, music for all ears and tipples for every wine & beer aficionado. Trust us, you don’t want to sit this one out - Get your tickets now! For updates and more details, follow us hereGet a glimpse of TOAST!"
193,Dwarka Garba Nights | Navratri 2022,delhi,"Pacific D21 Mall, Delhi",250 onwards,NAVRATRI,https://insider.in/dwarka-garba-nights-navratri-2022/event,"The Entertainment Factory presents Dwarka Garba Nights.

Dandiya season is here! So, put on your best Garba attire & be ready to express your quirky Garba steps at Pacific D21 Mall, Dwarka!Venue
Pacific D21 Mall
Dwarka Sector 21 Metro Station, PACIFIC MALL, Sector 21, Dwarka, New Delhi, Delhi 110077, India
GET DIRECTIONS"
194,Dandiya Garba night -2022 | Navratri 2022,delhi,"Park, Pocket C, Sarita Vihar, Delhi",300,NAVRATRI,https://insider.in/dandiya-garba-night-2022-navratri-2022/event,"DANDIYA NIGHT 2022 season 8 is BACK WITH A BANG!

As life comes back to normal , lets welcome Navratri together!

Date: October 1, 2022, Saturday
Timings: 6PM - 10PM
Venue : Pocket C Park, adjacent to Community Center, Sarita Vihar, New Delhi 
Dress code : Traditional (strictly) 

More than 1000+ families

 Attractions : 

Open arena 
DJ and Dhol Masti 
Mouth watering food stalls 
Group dance performances on stage 
Shopping stalls 
Selfie corners  
Lucky draw & gift vouchers 
Dandiya queen contest 
Best couple dances 
Lucky draw 

For children up to 10 years - No entry charges and will be showered with lots of surprises!

Dandiya sticks will be available at the venue 

Book Your Stalls now as we have very limited stalls!

Please note:

1) Tickets will not be available at the venue . 
2) Register your group dance performance on stage 
@ 91 98717 65036 & 91 96500 87067

Regards
RACIPA team"
195,DGTL | Mumbai,delhi,"Nesco Center, Mumbai",5000 onwards (Prices excl. of GST),MUSIC,https://insider.in/dgtl-mumbai/event,"DGTL is a festival full of discovery, inspiration and surprise. For 7 years we have tantalised visitors and keep them hungry for more through music, art and production.
DGTL is making a sustainable impact on the global festival landscape. Always mindful of our environmental and social impact, we work with enthusiastic partners to spread our message and expand our reach. We design impressive stages within raw, industrial settings. partnering with the best vjs, we create mesmerising light effects and visuals.

Special bands will be provided for individuals above the legal drinking age.

Please note: Ticket prices are exclusive of GSTArtist Lineup"
196,Oktoberfest at Hyatt Regency Delhi,delhi,"Hyatt Regency Delhi, Delhi",Free,FESTIVAL,https://insider.in/oktoberfest-at-hyatt-regency-delhi-sep17-2022/event,"It’s time to dig out those dirndls and lederhosen and celebrate Germany’s biggest festival with us at Hyatt Regency Delhi. Keep the beer and celebrations flowing, as we bring to you the spirit of Oktoberfest.

Soak up the rousing festivities of Oktoberfest and enjoy unlimited beers steins, traditional German food, buzzing music and a warm Munich welcome; it’s the Bierschenke way. 

17th September – 4th October 2022 | 6 PM onwards

Come, raise your glass and say ""Prost!"" "
197,DGTL | New Delhi,delhi,"IG Stadium Complex, New Delhi",5000 onwards (Prices excl. of GST),MUSIC,https://insider.in/dgtl-new-delhi/event,"DGTL is a festival full of discovery, inspiration and surprise. For 7 years we have tantalised visitors and keep them hungry for more through music, art and production.
DGTL is making a sustainable impact on the global festival landscape. Always mindful of our environmental and social impact, we work with enthusiastic partners to spread our message and expand our reach. We design impressive stages within raw, industrial settings. partnering with the best vjs, we create mesmerising light effects and visuals.

Special bands will be provided for individuals above the legal drinking age.

Please note: Ticket prices are exclusive of GSTArtist Lineup"
198,Kukdukoo Art Fest - Gurgaon,delhi,"Airia Mall, Gurugram",349 onwards,THEATRE & ARTS,https://insider.in/kukdukoo-art-fest-gurgaon-oct1-2022/event,"The Gurgaon edition of Kukdukoo Art Fest at Airia Mall is a 2-day family festival that brings children & their parents, artists, and educators together for the larger-than-life visual and performing art experience at one place.

Location: Airia Mall Ground, Sohna Road, Gurgaon
Age group: 2 to 16 years

The key highlights of the festival are mentioned below:
☆ 24 Shows & Performances (Solo & Group) by 50+ Artists (Visual Artists, Theatre Performers, Storytellers, Illustrators, etc.)
☆ 100+ DIY Art Activities conducted by traditional & contemporary visual art experts
☆ 5-7 Life-size art installations as part of the competition
☆ Kukdukoo HAAT featuring 20+ retail, food brands, and a book fair
☆ Meet your favourite comic characters, and experience cosplay."
199,DANDIYA DHAMAL-3 | Navratri 2022,delhi,"Gaur City Stadium, Noida",450,NAVRATRI,https://insider.in/dandiya-dhamal3-navratri-2022/event,"Event Starts with a Maha Aarti at 5:00 PM

Exciting Prizes for Dandiya King, Dandiya Queen, Best Traditional Dressed-up Male, Best Traditional Dressed-up Female and plus much more prizes to be won in a Lucky Draw. Do not miss this fun!


NOTE:-
Dress code:- Ethnic wear
Dandiya sticks are available at venue*
Free parking available

Entry starts from 5:30PM

Attractions:-

Open Arena
Dandiya Themed event
Huge production with big stage, LED Wall, Sounds and Lights
Non stop music
Live Dhol, Garba, dance, etc
Dandiya sticks
Lucky draw, gifts and gift vouchers for best dressed couple
Kids area- Play area and activities
Entire Venue decorated to suit the theme
Photo Booth
Professional Photography
&Many more"
200,Simba Uproar,delhi,"DLF Promenade, Vasant Kunj, Delhi",499 Onwards,MUSIC,https://insider.in/simba-uproar-nov19-2022/event,"Simba Uproar is a showcase of the Simba lifestyle - a 2-day festival with India's biggest ever hip-hop lineup. Expect an immersive experience for all things beer & street! Find the best tunes & artists, curated fashion, streetwear brands & sneakers, interactive experiences, urban sports, games & more, all in one place!

Website: www.simbauproar.com

Instagram - https://www.instagram.com/simba.uproar/Simba Uproar || Nov 19 & 20 || DLF Promenade"
201,Gin Explorers Club | Delhi | Sign Up & Get Early Access!,delhi,"To Be Announced, Delhi",Free,DRINKS & MORE,https://insider.in/gin-explorers-club-delhi-sign-up-get-early-access-4-5-feb-2023/event,"Venue
To Be Announced
All Cities
GET DIRECTIONSTerms & Conditions"
202,SteppinOut Indie Fest | Delhi NCR,delhi,"Imperfecto Patio, Gurugram, Gurugram",499 onwards,MUSIC,https://insider.in/steppinout-indie-fest-delhi-ncr-oct8-2022/event,"Soak in the beauty of musical transcendence and immerse yourself in the joy of pure music. The SteppinOut Indie fest is all set to be a mixed bag of entertainment with music, food, and an interesting line-up of budding indie artists who’d take you on a journey to your soul.

The interesting line-up includes Twin Strings, Dream Note, Hanita Bhambri, Vasu Raina, and Ishaan Kaushik.

From unlimited jam sessions, enriching musical banter, groovy tunes, soulful melody, and all that jazz- The Indie fest is about to be epic. So get ready to meet your favorite artists, or simply find one.Instructions"
203,DUSSHERA SHOPPING UTSAV,delhi,"Leisure Valley Park, Gurugram",50 onwards,OTHER,https://insider.in/gurugram-trade-fair-dussehra-special-sep24-2022/event,"We are organizing an event from 24th Sept to 9th Oct'22 at Leisure Valley Ground, Sector 29, Gurugram.
Come lively experience Robotic Dinosaur Park, London Bridge, Dussehra Carnival, Shopping Fest, Food and Rides.
A special attraction for children with space and science world.
Live Music and traditional folk dance.
Dussehra and Diwali shopping destination.
Variety of delicious food options from different states.
Giant Wheel, Columbus, Dragon Train, Caterpillar, Bunge Jumping, Striking Car, Break Dance.
Camel Riding, Water Boating.
Much more to explore and enjoy with family and friends."
204,Bridal Make Up MasterClass By Meenakshi Dutt,delhi,"DLF Mall of India, Noida",2499 onwards,BEAUTY,https://insider.in/bridal-make-up-masterclass-by-meenakshi-dutt-oct1-2022/event,"Wedding Tales Season 3 brings to you the most illustrious names in beauty and makeup industry to teach hundreds of women from all over the globe the art of bridal makeover, all under the same roof as a one stop destination for all your wedding needs and aspirations, at the famed DLF Mall of India.
 Featuring the household name of Meenakshi Dutt, a name that needs no introduction, this masterclass will allow students and trainees to learn the intricacies of bridal makeup with one of the finest bridal makeup artists in the world. 

The masterclass will feature:

1. Learning various bridal makeup techniques through detailed demonstration 

2. Product knowledge training explaining the significance and application of a variety of makeup products to create the bridal look

So if you’re someone who simply can’t look away from the trending makeup reels on Instagram and thousands of tutorials on YouTube, this masterclass is for you!

If you’re a makeup enthusiast looking to turn your passion into a profession, this makeup class is for you!

And if you’re someone who feels the skill of makeovers is a great addition to your lifestyle, then come and join us on this sparkling quest to unlock the secrets of bridal makeup!Instructions"
205,Soho Presents The Yellow Heads,delhi,"Soho Club Delhi, Delhi",499 onwards,MUSIC,https://insider.in/soho-presents-the-yellow-heads-sep30-2022/event,"Catch Yellow Heads performing live @ SohoVenue
Soho Club Delhi
Hotel Ashok, Chanakyapuri, New Delhi, Delhi 110021, India
GET DIRECTIONS"
206,FOOD & SNEAKER STREET,delhi,"Major Dhyan Chand National Stadium, Delhi",149 onwards,FESTIVAL,https://insider.in/food-sneaker-street-oct15-2022/event,"Come join us at a place where foodies, sneakerheads, gamers, musicians, and graffiti artists, come together to buy, trade, or sell sneakers and celebrate the rising sneaker culture in India with delicious food. Food & Sneaker's Street will be hosting the most iconic sneaker brands and emerging Indian street labels to engage and interact with street-style enthusiasts and the variety of food from different parts of nation.

Oh wait ! there is more to it , enjoy amazing games planned for you , silent DJ, LGBTQ+ & couple zone , flea market, food & sneakers market and performance by renowned artists who will grace their presence to light up whole arena . 

The Epitome Of Festivals. Nothing But Good Vibes And Great Memories with first ever street food buffet . Bringing in unique Games under game zone ,little knowledge grasping under Education zone activities like live squid game , talent in the form of cosplay under one roof to mark this event a huge success and great memory to revisit down your memory lane."
207,The Pine Tree Music Festival,delhi,"Rohini Lake and Garden, Darjeeling",1299 onwards,FESTIVAL,https://insider.in/the-pine-tree-music-festival-oct15-2022/event,"Venue
Rohini Lake and Garden
R7VW+F8G, Rohini Tea Garden, West Bengal 734217, India
GET DIRECTIONSTerms & Conditions"
208,Nastia Live @ Soho-Delhi,delhi,"Soho Club Delhi, Delhi",1000 onwards,MUSIC,https://insider.in/nastia-live-sohodelhi-oct7-2022/event,Nastia Live @ Soho DelhiInstructions
209,SACRED SPIRIT FESTIVAL,delhi,"Mehrangarh Fort Museum and Trust, Jodhpur",4500 onwards,MUSIC,https://insider.in/sacred-spirit-festival-feb10-2023/event,"The Sacred Spirit Festival (SSF) attracts top talent from India and across the world and the performances have been enthralling music aficionados over the years. The festival has completed 13 editions so far and is organised annually by the Mehrangarh Museum Trust.

With the majestic Mehrangarh Fort as the venue, the performance starts at sunrise and goes all the way past midnight. The festival is curated by none other than Alain Weber.

This festival is considered amongst the most popular cultural music events on the globe. It brings along the rich traditions of the east and the west and when mixed with the rich Indian culture, it becomes an exciting attraction for all national and international audience. The ever popular Rabbi Shergil, Kavita Seth, Kailash Kher, Sabri brothers, Ustad Shujat Khan, Rock Veda Band, Mati Bani, Char Yaar and Thagni group have captivated audience over the years. Renowned artists from Egypt, Turkey, France, Paris, Mongolia, Afghanistan, Africa, China, etc along with the traditional Rajasthani folk musicians have graced this incredible festival.


For more details, visit www.worldsacredspiritfestival.org"
210,Dj Dandiya Night 2k22 Palam Vihar | Navratri 2022,delhi,"Padam Greens, Gurugram",150,NAVRATRI,https://insider.in/dj-dandiya-night-2k22-palam-vihar-navratri-2022/event,"Get ready to rock the dance floor with the best DJ Dandiya in the town.

Dj Dandiya night on 30th september , Padam Greens , Palam Vihar Road ."
211,Dandiya Utsav 2K22 | Navratri 2022,delhi,"DDA Ground, Delhi",249 onwards,NAVRATRI,https://insider.in/dandiya-utsav-2k22-navratri-2022/event,"Dandiya Utsav 2K22

LIVE ATTRACTIONS:
LIVE MUSIC
BEST OUTFIT AWARD
VARIOUS FOOD STALLS
JURASSIC PARK THEME PLAY AREA
FREE PORTFOLIO FOR OUTFIT AWARD WINNER


JOIN US FOR THE CELEBRATION!Venue
DDA Ground
H2WP+WW8, Sector 13, Kakrola, Delhi, 110075, India
GET DIRECTIONS"
212,Jalsa 6.0 - The Dandiya Night | Navratri 2022,delhi,"SDMC Booster Park, Delhi",499,NAVRATRI,https://insider.in/jalsa-60-the-dandiya-night-navratri-2022/event,"Don’t know where to go for the dandiya night this Navratri? We have got you all covered. 
Rotaract Club of New Delhi presents you the biggest dandiya night ‘Jalsa 6.0,The Dandiya Night.’ 
Jalsa has catered dandiya fans, families and friends for past many years with DJ whose dance beats you can’t resist, delectable food, professional garba dancers, special Aarti and a special photo booth to create and capture endless memories. 
Best place to go with your friends and families and celebrate this time of festivities with Rotaract Club of New Delhi at Jalsa 6.0 on Saturday, 1st October 2022.

VENUE : SDMC BOOSTER PARK, DG-1, OPPOSITE TO COLOMBIA FOUNDATION SCHOOL, VIKAS PURI, DELHI: 110018



---- TERMS AND CONDITIONS -------



1) Each ticket admits 1 only

2) No re-entry is permitted as this is a wristband access area and wristbands shall be cut upon exit

3) Organisers reserve the right to perform security check on invitees

4) Please carry your id for verification and your e-ticket printout/screenshot

5) No refund on purchased ticket is possible

6) Consumption and sale of illegal substances is prohibited

7) The organisers reserve the right without refund to refuse admission to anyone who is found to be in breach of these terms and conditions.

8) Valet parking is available but Parking near or at the arena premises is at the risk of the vehicle owner. 

9) Ticket permits entry to the arena grounds only. Any food and beverage purchases and pre or after parties are sold separately.

10) Rights of admission reserves, even to valid ticket holders."
